priceaed,bedrooms,bathrooms,sizesqft,pricepersqft,community,propertytype,furnishing,constructionstatus,listingdate,latitude,longitude,priceband
1410000.0,1.0,2.0,644.0,2189.44099378882,Al Jaddaf,Apartment,Unfurnished,Off-Plan,2023-12-11,25.214294,55.32457,1–2M
1500000.0,1.0,2.0,644.0,2329.192546583851,Al Jaddaf,Apartment,Unfurnished,Off-Plan,2024-01-16,25.214294,55.32457,1–2M
964999.0,1.0,2.0,613.0,1574.2234910277325,Al Jaddaf,Apartment,Unfurnished,Ready,2023-11-21,25.207504,55.322426,<1M
1050000.0,1.0,2.0,613.0,1712.8874388254487,Al Jaddaf,Apartment,Unfurnished,Ready,2024-04-15,25.214294,55.32457,1–2M
1995000.0,2.0,2.0,241.0,8278.008298755187,Al Jaddaf,Apartment,Furnished,Ready,2024-04-17,25.214294,55.32457,1–2M
550000.0,0.0,1.0,275.0,2000.0,Al Jaddaf,Apartment,Unfurnished,Ready,2024-04-09,25.214294,55.32457,<1M
4500000.0,2.0,3.0,318.0,14150.943396226416,Al Jaddaf,Apartment,Furnished,Off-Plan,2024-03-15,25.214294,55.32457,3–5M
960000.0,1.0,2.0,401.0,2394.0149625935164,Al Jaddaf,Apartment,Furnished,Ready,2023-11-28,25.207504,55.322426,<1M
950000.0,1.0,2.0,1.0,950000.0,Al Jaddaf,Apartment,Unfurnished,Ready,2024-03-19,25.214294,55.32457,<1M
1650000.0,3.0,3.0,1.0,1650000.0,Al Jaddaf,Apartment,Unfurnished,Ready,2024-02-08,25.207504,55.322426,1–2M
2000000.0,3.0,3.0,613.0,3262.6427406199023,Al Jaddaf,Apartment,Furnished,Ready,2024-03-08,25.207504,55.322426,1–2M
1600000.0,2.0,2.0,613.0,2610.1141924959215,Al Jaddaf,Apartment,Unfurnished,Ready,2024-04-20,25.207504,55.322426,1–2M
700000.0,0.0,1.0,814.0,859.9508599508599,Al Jaddaf,Apartment,Furnished,Ready,2024-02-27,25.214294,55.32457,<1M
1210000.0,1.0,1.0,814.0,1486.4864864864865,Al Jaddaf,Apartment,Unfurnished,Ready,2024-04-01,25.214294,55.32457,1–2M
1500000.0,1.0,2.0,814.0,1842.7518427518428,Al Jaddaf,Apartment,Furnished,Ready,2024-01-26,25.207504,55.322426,1–2M
850000.0,0.0,1.0,290.0,2931.0344827586205,Al Jaddaf,Apartment,Unfurnished,Ready,2024-03-25,25.214294,55.32457,<1M
1099000.0,1.0,2.0,1.0,1099000.0,Al Jaddaf,Apartment,Unfurnished,Ready,2024-02-07,25.214294,55.32457,1–2M
1750000.0,2.0,3.0,275.0,6363.636363636364,Al Jaddaf,Apartment,Furnished,Ready,2023-12-19,25.214294,55.32457,1–2M
1500000.0,1.0,2.0,275.0,5454.545454545455,Al Jaddaf,Apartment,Unfurnished,Ready,2024-01-23,25.214294,55.32457,1–2M
1300000.0,1.0,1.0,814.0,1597.0515970515971,Al Jaddaf,Apartment,Furnished,Ready,2024-03-18,25.214294,55.32457,1–2M
850000.0,0.0,1.0,644.0,1319.8757763975154,Al Jaddaf,Apartment,Unfurnished,Off-Plan,2024-03-15,25.214294,55.32457,<1M
4450000.0,1.0,2.0,318.0,13993.710691823899,Al Jaddaf,Apartment,Furnished,Off-Plan,2024-02-13,25.207504,55.322426,3–5M
950000.0,1.0,2.0,1.0,950000.0,Al Jaddaf,Apartment,Unfurnished,Ready,2024-02-22,25.214294,55.32457,<1M
1100000.0,1.0,2.0,401.0,2743.142144638404,Al Jaddaf,Apartment,Unfurnished,Ready,2024-04-02,25.214294,55.32457,1–2M
950000.0,1.0,1.0,1.0,950000.0,Al Jaddaf,Apartment,Furnished,Ready,2024-03-12,25.214294,55.32457,<1M
2600000.0,3.0,4.0,613.0,4241.435562805873,Al Jaddaf,Apartment,Unfurnished,Ready,2024-04-22,25.207504,55.322426,2–3M
950000.0,1.0,2.0,275.0,3454.5454545454545,Al Jaddaf,Apartment,Furnished,Ready,2024-04-05,25.214294,55.32457,<1M
950000.0,0.0,1.0,290.0,3275.862068965517,Al Jaddaf,Apartment,Unfurnished,Ready,2024-03-15,25.214294,55.32457,<1M
1499999.0,1.0,1.0,644.0,2329.19099378882,Al Jaddaf,Apartment,Unfurnished,Off-Plan,2024-03-19,25.214294,55.32457,1–2M
1350000.0,1.0,2.0,814.0,1658.4766584766585,Al Jaddaf,Apartment,Unfurnished,Ready,2024-04-18,25.207504,55.322426,1–2M
950000.0,1.0,2.0,1.0,950000.0,Al Jaddaf,Apartment,Furnished,Ready,2023-12-26,25.214294,55.32457,<1M
2481000.0,3.0,5.0,408.0,6080.882352941177,Al Jaddaf,Apartment,Furnished,Ready,2024-02-12,25.214294,55.32457,2–3M
925000.0,0.0,1.0,241.0,3838.174273858921,Al Jaddaf,Apartment,Furnished,Ready,2024-01-16,25.214294,55.32457,<1M
2200000.0,0.0,1.0,318.0,6918.238993710692,Al Jaddaf,Apartment,Furnished,Off-Plan,2024-01-04,25.207504,55.322426,2–3M
950000.0,1.0,1.0,613.0,1549.7553017944535,Al Jaddaf,Apartment,Unfurnished,Ready,2024-04-18,25.214294,55.32457,<1M
940000.0,1.0,2.0,613.0,1533.442088091354,Al Jaddaf,Apartment,Unfurnished,Ready,2023-12-15,25.207504,55.322426,<1M
1100000.0,1.0,2.0,1.0,1100000.0,Al Jaddaf,Apartment,Furnished,Ready,2024-03-28,25.214294,55.32457,1–2M
979999.0,1.0,2.0,613.0,1598.6933115823817,Al Jaddaf,Apartment,Furnished,Ready,2024-03-23,25.207504,55.322426,<1M
1390000.0,1.0,2.0,644.0,2158.385093167702,Al Jaddaf,Apartment,Furnished,Off-Plan,2024-03-21,25.207504,55.322426,1–2M
1100000.0,1.0,2.0,613.0,1794.453507340946,Al Jaddaf,Apartment,Unfurnished,Ready,2024-02-29,25.214294,55.32457,1–2M
900000.0,0.0,1.0,814.0,1105.6511056511056,Al Jaddaf,Apartment,Furnished,Ready,2023-09-01,25.214294,55.32457,<1M
1495000.0,1.0,2.0,644.0,2321.4285714285716,Al Jaddaf,Apartment,Furnished,Off-Plan,2024-02-02,25.207504,55.322426,1–2M
950000.0,1.0,2.0,1.0,950000.0,Al Jaddaf,Apartment,Unfurnished,Ready,2024-03-14,25.214294,55.32457,<1M
1450000.0,1.0,2.0,1.0,1450000.0,Al Jaddaf,Apartment,Furnished,Ready,2023-11-17,25.214294,55.32457,1–2M
1100000.0,1.0,2.0,613.0,1794.453507340946,Al Jaddaf,Apartment,Unfurnished,Ready,2023-11-08,25.214294,55.32457,1–2M
1500000.0,1.0,2.0,241.0,6224.066390041494,Al Jaddaf,Apartment,Furnished,Ready,2024-02-26,25.214294,55.32457,1–2M
2400000.0,2.0,3.0,275.0,8727.272727272728,Al Jaddaf,Apartment,Furnished,Ready,2023-11-14,25.214294,55.32457,2–3M
2100000.0,2.0,3.0,241.0,8713.69294605809,Al Jaddaf,Apartment,Furnished,Ready,2024-04-17,25.214294,55.32457,2–3M
3038000.0,1.0,2.0,318.0,9553.459119496856,Al Jaddaf,Apartment,Furnished,Off-Plan,2024-01-22,25.207504,55.322426,3–5M
620000.0,0.0,1.0,814.0,761.6707616707616,Al Jaddaf,Apartment,Furnished,Ready,2024-03-18,25.207504,55.322426,<1M
560000.0,0.0,1.0,275.0,2036.3636363636363,Al Jaddaf,Apartment,Furnished,Ready,2023-10-05,25.214294,55.32457,<1M
1475000.0,1.0,2.0,644.0,2290.3726708074532,Al Jaddaf,Apartment,Furnished,Off-Plan,2024-01-29,25.207504,55.322426,1–2M
1480000.0,1.0,2.0,814.0,1818.1818181818182,Al Jaddaf,Apartment,Unfurnished,Ready,2024-02-07,25.214294,55.32457,1–2M
860000.0,1.0,2.0,1.0,860000.0,Al Jaddaf,Apartment,Unfurnished,Ready,2024-03-28,25.214294,55.32457,<1M
900000.0,1.0,2.0,1.0,900000.0,Al Jaddaf,Apartment,Furnished,Ready,2024-03-11,25.207504,55.322426,<1M
700000.0,0.0,1.0,814.0,859.9508599508599,Al Jaddaf,Apartment,Unfurnished,Ready,2023-08-04,25.214294,55.32457,<1M
1800000.0,2.0,2.0,644.0,2795.031055900621,Al Jaddaf,Apartment,Unfurnished,Off-Plan,2024-03-25,25.207504,55.322426,1–2M
1400000.0,2.0,2.0,1.0,1400000.0,Al Jaddaf,Apartment,Furnished,Ready,2024-03-12,25.214294,55.32457,1–2M
1000000.0,1.0,2.0,613.0,1631.3213703099511,Al Jaddaf,Apartment,Unfurnished,Ready,2023-09-22,25.214294,55.32457,<1M
625000.0,0.0,1.0,275.0,2272.7272727272725,Al Jaddaf,Apartment,Furnished,Ready,2024-03-22,25.207504,55.322426,<1M
750000.0,0.0,1.0,275.0,2727.2727272727275,Al Jaddaf,Apartment,Unfurnished,Ready,2023-09-20,25.207504,55.322426,<1M
1790000.0,3.0,3.0,1.0,1790000.0,Al Jaddaf,Apartment,Unfurnished,Ready,2024-02-13,25.214294,55.32457,1–2M
1500000.0,2.0,2.0,613.0,2446.982055464927,Al Jaddaf,Apartment,Unfurnished,Ready,2024-03-18,25.207504,55.322426,1–2M
950000.0,1.0,2.0,401.0,2369.077306733167,Al Jaddaf,Apartment,Furnished,Ready,2024-03-06,25.214294,55.32457,<1M
880000.0,1.0,2.0,1.0,880000.0,Al Jaddaf,Apartment,Unfurnished,Ready,2024-01-13,25.214294,55.32457,<1M
940000.0,1.0,2.0,1.0,940000.0,Al Jaddaf,Apartment,Unfurnished,Ready,2024-01-24,25.214294,55.32457,<1M
610000.0,0.0,1.0,275.0,2218.181818181818,Al Jaddaf,Apartment,Furnished,Ready,2023-12-27,25.207504,55.322426,<1M
2935000.0,1.0,2.0,438.0,6700.913242009133,Al Jaddaf,Apartment,Furnished,Off-Plan,2024-03-14,25.214294,55.32457,2–3M
900000.0,1.0,2.0,401.0,2244.3890274314213,Al Jaddaf,Apartment,Unfurnished,Ready,2024-02-29,25.214294,55.32457,<1M
